||  Gyr_X  ||  Gyr_Y  ||  Gyr_Z  ||  temps  || 
||  -0.12  ||  -0.01  ||  -0.02  ||  199  ||  
||  0.01  ||  -0.01  ||    0    ||  488  ||  
||  0.01  ||  -0.01  ||    0    ||  778  ||  
||  0.01  ||    -0    ||    -0    ||  1068  ||  
||    0    ||    -0    ||    -0    ||  1358  ||  
||  0.01  ||  -0.01  ||    -0    ||  1648  ||  
||  0.01  ||  -0.01  ||    0    ||  1939  ||  
||  0.01  ||  -0.01  ||    0    ||  2230  ||  
||  0.01  ||  -0.01  ||    0    ||  2520  ||  
||  0.01  ||  -0.01  ||  -0.01  ||  2810  ||  
||    0    ||  -0.01  ||    0    ||  3101  ||  
||  0.01  ||  -0.01  ||    0    ||  3392  ||  
||  -0.12  ||  -1.48  ||  -0.65  ||  3683  ||  
||  -2.68  ||  -1.43  ||  0.85  ||  3974  ||  
||  -2.41  ||  0.53  ||  0.76  ||  4265  ||  
||  4.97  ||  -2.86  ||  2.79  ||  4556  ||  
||  -5  ||  5  ||  3.13  ||  4847  ||  
||  4.97  ||  -5  ||  -0.17  ||  5139  ||  
||  -3.75  ||  5  ||  -0.9  ||  5430  ||  
||  4.97  ||  -5  ||  -0.46  ||  5722  ||  
||  4.97  ||  -2.55  ||  0.24  ||  6012  ||  
||  -0.11  ||  0.34  ||  -0.03  ||  6303  ||  
||    0    ||  -0.01  ||    -0    ||  6594  ||  
||    0    ||  -0.01  ||    0    ||  6885  ||  
||  0.01  ||  -0.01  ||    0    ||  7175  ||  
||  0.01  ||  -0.01  ||    -0    ||  7465  ||  
||  0.01  ||  -0.01  ||    0    ||  7756  ||  
||  0.01  ||    -0    ||    -0    ||  8047  ||  
||  0.01  ||  -0.01  ||    0    ||  8337  ||  
||    0    ||  -0.01  ||  0.01  ||  8628  ||  
||  0.01  ||  -0.01  ||    0    ||  8919  ||  
||  0.01  ||  -0.01  ||    0    ||  9208  ||  
||    0    ||  -0.01  ||    -0    ||  9499  ||  
||  0.01  ||  -0.01  ||    -0    ||  9790  ||  
||  0.01  ||  -0.01  ||    -0    ||  10081  ||  
||  0.01  ||    -0    ||    -0    ||  10373  ||  
||  0.01  ||    -0    ||    -0    ||  10663  ||  
