||  Gyr_X  ||  Gyr_Y  ||  Gyr_Z  ||  temps  || 
||  -101  ||    0    ||    0    ||  267  ||  
||  -0.02  ||  -0.01  ||    0    ||  267  ||  
||  -0.01  ||  -0.01  ||    -0    ||  267  ||  
||  -0.01  ||    -0    ||    0    ||  267  ||  
||  -0.02  ||  -0.01  ||    0    ||  267  ||  
||  -0.01  ||  -0.01  ||    0    ||  267  ||  
||  -0.01  ||    0    ||    0    ||  267  ||  
||  -0.02  ||  -0.01  ||    0    ||  267  ||  
||  -0.01  ||  -0.01  ||    -0    ||  267  ||  
||  -0.01  ||    -0    ||    0    ||  267  ||  
||  -0.02  ||  -0.01  ||    0    ||  267  ||  
||  -0.01  ||  -0.01  ||    0    ||  267  ||  
||  -0.01  ||    -0    ||    0    ||  267  ||  
||  -0.01  ||    -0    ||    -0    ||  267  ||  
||  -0.02  ||  -0.01  ||    0    ||  267  ||  
||  -0.02  ||    -0    ||    -0    ||  267  ||  
||  -0.01  ||  -0.01  ||  -0.01  ||  267  ||  
||  -0.01  ||  -0.01  ||    0    ||  267  ||  
||  -0.01  ||  -0.01  ||    0    ||  267  ||  
||  -0.01  ||  -0.01  ||    -0    ||  267  ||  
||  -0.02  ||  -0.01  ||    0    ||  267  ||  
||  -0.01  ||    -0    ||    -0    ||  267  ||  
||  -0.02  ||    -0    ||    -0    ||  267  ||  
||  -0.01  ||    -0    ||  -0.01  ||  267  ||  
||  -0.01  ||  -0.01  ||    -0    ||  267  ||  
||  -0.01  ||    -0    ||    -0    ||  267  ||  
||  -0.01  ||  -0.02  ||    -0    ||  267  ||  
||  -0.05  ||  -3.85  ||    -0    ||  267  ||  
||  0.22  ||  -2.76  ||  0.5  ||  267  ||  
||  -0.17  ||  0.91  ||  0.43  ||  267  ||  
||  0.03  ||  1.4  ||  -0.13  ||  267  ||  
||  -0.08  ||  5  ||  -0.19  ||  267  ||  
||  0.02  ||  1.75  ||  -0.72  ||  267  ||  
||  0.02  ||  3.36  ||  -0.24  ||  267  ||  
||  0.06  ||  1.51  ||  -0.45  ||  267  ||  
||  -0.18  ||  2.44  ||  -0.18  ||  267  ||  
||    0    ||  0.41  ||  -0.27  ||  267  ||  
||  -0.03  ||  0.51  ||  -0.07  ||  267  ||  
||    -0    ||  2.81  ||  -0.06  ||  267  ||  
||  -0.08  ||  2.7  ||  -0.4  ||  267  ||  
||  0.04  ||  2.05  ||  -0.36  ||  267  ||  
||  0.02  ||  -0.07  ||  -0.26  ||  267  ||  
||  0.01  ||  -3.62  ||  0.01  ||  267  ||  
||  -0.02  ||  -2.87  ||  0.47  ||  267  ||  
||  -0.08  ||  -5  ||  0.41  ||  267  ||  
||  -0.94  ||  -3.41  ||  0.52  ||  267  ||  
||  -0.03  ||  0.94  ||  0.28  ||  267  ||  
||  1.36  ||  -0.44  ||  -0.04  ||  267  ||  
||  -0.15  ||  -1.24  ||  0.11  ||  267  ||  
||  -0.05  ||  -0.05  ||  0.24  ||  267  ||  
||  -0.01  ||  -0.03  ||  -0.01  ||  267  ||  
||    -0    ||  3.53  ||  0.02  ||  267  ||  
||  0.32  ||  4.51  ||  -0.31  ||  267  ||  
||  -0.04  ||  0.81  ||  -0.82  ||  267  ||  
||  0.05  ||  -1.99  ||  -0.13  ||  267  ||  
||  -0.06  ||  -2.13  ||  0.28  ||  267  ||  
||  -0.09  ||  -2.91  ||  0.32  ||  267  ||  
||  -0.54  ||  1.34  ||  0.35  ||  267  ||  
||  0.09  ||  4.41  ||  -0.14  ||  267  ||  
||  -0.02  ||  -3.34  ||  -0.39  ||  267  ||  
||  -0.02  ||  1.8  ||  0.28  ||  267  ||  
||  0.39  ||  4.96  ||  -0.16  ||  267  ||  
||  -0.19  ||  -4.73  ||  -0.64  ||  267  ||  
||  0.22  ||  2.88  ||  0.45  ||  267  ||  
||  0.38  ||  5  ||  -0.2  ||  267  ||  
||  -0.47  ||  -4.72  ||  -0.59  ||  267  ||  
